Municipality|Ward_Name|Ward_Number|Contest|Candidate|Votes
City of Kenosha|Wards 7|7|REP Representative in Congress|Bryan Steil|39
City of Kenosha|Wards 7|7|REP Representative in Congress|Write-In|1
City of Kenosha|Wards 7|7|REP State Senator District 22|Write-In|2
City of Kenosha|Wards 7|7|REP Representative to the Assembly District 64|Ed Hibsch|36
City of Kenosha|Wards 7|7|REP Representative to the Assembly District 64|Write-In|1
City of Kenosha|Wards 7|7|REP District Attorney|Xavier Solis|33
City of Kenosha|Wards 7|7|REP District Attorney|Write-In|1
City of Kenosha|Wards 7|7|REP County Clerk|Write-In|3
City of Kenosha|Wards 7|7|REP County Treasurer|Write-In|2
City of Kenosha|Wards 7|7|REP Register of Deeds|Write-In|3
City of Kenosha|Wards 7|7|CON United States Senator|Write-In|0
City of Kenosha|Wards 7|7|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 7|7|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 7|7|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 7|7|CON District Attorney|Write-In|0
City of Kenosha|Wards 7|7|CON County Clerk|Write-In|0
City of Kenosha|Wards 7|7|CON County Treasurer|Write-In|0
City of Kenosha|Wards 7|7|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 7|7|LIB United States Senator|Write-In|0
City of Kenosha|Wards 7|7|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 7|7|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 7|7|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 7|7|LIB District Attorney|Write-In|0
City of Kenosha|Wards 7|7|LIB County Clerk|Write-In|0
City of Kenosha|Wards 7|7|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 7|7|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 7|7|GRN United States Senator|Write-In|0
City of Kenosha|Wards 7|7|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 7|7|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 7|7|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 7|7|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 7|7|GRN District Attorney|Write-In|0
City of Kenosha|Wards 7|7|GRN County Clerk|Write-In|0
City of Kenosha|Wards 7|7|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 7|7|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 7|7|State Referendum - Question 1|No|120
City of Kenosha|Wards 7|7|State Referendum - Question 1|Yes|44
City of Kenosha|Wards 7|7|State Referendum - Question 2|No|118
City of Kenosha|Wards 7|7|State Referendum - Question 2|Yes|41
City of Kenosha|Wards 8|8|Party Preference Section|Democratic|115
City of Kenosha|Wards 8|8|Party Preference Section|Republican|69
City of Kenosha|Wards 8|8|Party Preference Section|Constitution|1
City of Kenosha|Wards 8|8|Party Preference Section|Libertarian|1
City of Kenosha|Wards 8|8|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 8|8|DEM United States Senator|Tammy Baldwin|108
City of Kenosha|Wards 8|8|DEM United States Senator|Write-In|0
City of Kenosha|Wards 8|8|DEM Representative in Congress|Peter Barca|107
City of Kenosha|Wards 8|8|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 8|8|DEM State Senator District 22|Robert W. Wirch|107
City of Kenosha|Wards 8|8|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 8|8|DEM Representative to the Assembly District 64|Tip McGuire|106
City of Kenosha|Wards 8|8|DEM Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 8|8|DEM District Attorney|Carli McNeill|102
City of Kenosha|Wards 8|8|DEM District Attorney|Write-In|0
City of Kenosha|Wards 8|8|DEM County Clerk|Regi Waligora|101
City of Kenosha|Wards 8|8|DEM County Clerk|Write-In|0
City of Kenosha|Wards 8|8|DEM County Treasurer|Teri Jacobson|99
City of Kenosha|Wards 8|8|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 8|8|DEM Register of Deeds|Jennifer Mack|99
City of Kenosha|Wards 8|8|DEM Register of Deeds|Write-In|1
City of Kenosha|Wards 8|8|REP United States Senator|Eric Hovde|66
City of Kenosha|Wards 8|8|REP United States Senator|Charles E. Barman|5
City of Kenosha|Wards 8|8|REP United States Senator|Rejani Raveendran|0
City of Kenosha|Wards 8|8|REP United States Senator|Write-In|0
City of Kenosha|Wards 8|8|REP Representative in Congress|Bryan Steil|69
City of Kenosha|Wards 8|8|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 8|8|REP State Senator District 22|Write-In|1
City of Kenosha|Wards 8|8|REP Representative to the Assembly District 64|Ed Hibsch|63
City of Kenosha|Wards 8|8|REP Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 8|8|REP District Attorney|Xavier Solis|52
City of Kenosha|Wards 8|8|REP District Attorney|Write-In|0
City of Kenosha|Wards 8|8|REP County Clerk|Write-In|0
City of Kenosha|Wards 8|8|REP County Treasurer|Write-In|0
City of Kenosha|Wards 8|8|REP Register of Deeds|Write-In|1
City of Kenosha|Wards 8|8|CON United States Senator|Write-In|0
City of Kenosha|Wards 8|8|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 8|8|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 8|8|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 8|8|CON District Attorney|Write-In|0
City of Kenosha|Wards 8|8|CON County Clerk|Write-In|0
City of Kenosha|Wards 8|8|CON County Treasurer|Write-In|0
City of Kenosha|Wards 8|8|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 8|8|LIB United States Senator|Write-In|0
City of Kenosha|Wards 8|8|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 8|8|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 8|8|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 8|8|LIB District Attorney|Write-In|0
City of Kenosha|Wards 8|8|LIB County Clerk|Write-In|0
City of Kenosha|Wards 8|8|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 8|8|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 8|8|GRN United States Senator|Write-In|0
City of Kenosha|Wards 8|8|GRN Representative in Congress|Chester Todd, Jr.|2
City of Kenosha|Wards 8|8|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 8|8|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 8|8|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 8|8|GRN District Attorney|Write-In|0
City of Kenosha|Wards 8|8|GRN County Clerk|Write-In|0
City of Kenosha|Wards 8|8|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 8|8|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 8|8|State Referendum - Question 1|No|117
City of Kenosha|Wards 8|8|State Referendum - Question 1|Yes|62
City of Kenosha|Wards 8|8|State Referendum - Question 2|No|118
City of Kenosha|Wards 8|8|State Referendum - Question 2|Yes|63
City of Kenosha|Wards 9|9|Party Preference Section|Democratic|296
City of Kenosha|Wards 9|9|Party Preference Section|Republican|134
City of Kenosha|Wards 9|9|Party Preference Section|Constitution|1
City of Kenosha|Wards 9|9|Party Preference Section|Libertarian|0
City of Kenosha|Wards 9|9|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 9|9|DEM United States Senator|Tammy Baldwin|296
City of Kenosha|Wards 9|9|DEM United States Senator|Write-In|1
City of Kenosha|Wards 9|9|DEM Representative in Congress|Peter Barca|295
City of Kenosha|Wards 9|9|DEM Representative in Congress|Write-In|1
City of Kenosha|Wards 9|9|DEM State Senator District 22|Robert W. Wirch|292
City of Kenosha|Wards 9|9|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 9|9|DEM Representative to the Assembly District 64|Tip McGuire|291
City of Kenosha|Wards 9|9|DEM Representative to the Assembly District 64|Write-In|1
City of Kenosha|Wards 9|9|DEM District Attorney|Carli McNeill|280
City of Kenosha|Wards 9|9|DEM District Attorney|Write-In|1
City of Kenosha|Wards 9|9|DEM County Clerk|Regi Waligora|275
City of Kenosha|Wards 9|9|DEM County Clerk|Write-In|0
City of Kenosha|Wards 9|9|DEM County Treasurer|Teri Jacobson|278
City of Kenosha|Wards 9|9|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 9|9|DEM Register of Deeds|Jennifer Mack|274
City of Kenosha|Wards 9|9|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 9|9|REP United States Senator|Eric Hovde|130
City of Kenosha|Wards 9|9|REP United States Senator|Charles E. Barman|11
City of Kenosha|Wards 9|9|REP United States Senator|Rejani Raveendran|3
City of Kenosha|Wards 9|9|REP United States Senator|Write-In|0
City of Kenosha|Wards 9|9|REP Representative in Congress|Bryan Steil|137
City of Kenosha|Wards 9|9|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 9|9|REP State Senator District 22|Write-In|3
City of Kenosha|Wards 9|9|REP Representative to the Assembly District 64|Ed Hibsch|126
City of Kenosha|Wards 9|9|REP Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 9|9|REP District Attorney|Xavier Solis|115
City of Kenosha|Wards 9|9|REP District Attorney|Write-In|0
City of Kenosha|Wards 9|9|REP County Clerk|Write-In|4
City of Kenosha|Wards 9|9|REP County Treasurer|Write-In|4
City of Kenosha|Wards 9|9|REP Register of Deeds|Write-In|4
City of Kenosha|Wards 9|9|CON United States Senator|Write-In|0
City of Kenosha|Wards 9|9|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 9|9|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 9|9|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 9|9|CON District Attorney|Write-In|0
City of Kenosha|Wards 9|9|CON County Clerk|Write-In|0
City of Kenosha|Wards 9|9|CON County Treasurer|Write-In|0
City of Kenosha|Wards 9|9|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 9|9|LIB United States Senator|Write-In|0
City of Kenosha|Wards 9|9|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 9|9|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 9|9|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 9|9|LIB District Attorney|Write-In|0
City of Kenosha|Wards 9|9|LIB County Clerk|Write-In|0
City of Kenosha|Wards 9|9|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 9|9|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 9|9|GRN United States Senator|Write-In|0
City of Kenosha|Wards 9|9|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 9|9|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 9|9|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 9|9|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 9|9|GRN District Attorney|Write-In|0
City of Kenosha|Wards 9|9|GRN County Clerk|Write-In|0
City of Kenosha|Wards 9|9|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 9|9|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 9|9|State Referendum - Question 1|No|289
City of Kenosha|Wards 9|9|State Referendum - Question 1|Yes|158
City of Kenosha|Wards 9|9|State Referendum - Question 2|No|296
City of Kenosha|Wards 9|9|State Referendum - Question 2|Yes|158
City of Kenosha|Wards 10|10|Party Preference Section|Democratic|45
City of Kenosha|Wards 10|10|Party Preference Section|Republican|29
City of Kenosha|Wards 10|10|Party Preference Section|Constitution|0
City of Kenosha|Wards 10|10|Party Preference Section|Libertarian|0
City of Kenosha|Wards 10|10|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 10|10|DEM United States Senator|Tammy Baldwin|46
City of Kenosha|Wards 10|10|DEM United States Senator|Write-In|0
City of Kenosha|Wards 10|10|DEM Representative in Congress|Peter Barca|45
City of Kenosha|Wards 10|10|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 10|10|DEM State Senator District 22|Robert W. Wirch|45
City of Kenosha|Wards 10|10|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 10|10|DEM Representative to the Assembly District 64|Tip McGuire|44
City of Kenosha|Wards 10|10|DEM Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 10|10|DEM District Attorney|Carli McNeill|42
City of Kenosha|Wards 10|10|DEM District Attorney|Write-In|0
City of Kenosha|Wards 10|10|DEM County Clerk|Regi Waligora|41
City of Kenosha|Wards 10|10|DEM County Clerk|Write-In|0
City of Kenosha|Wards 10|10|DEM County Treasurer|Teri Jacobson|41
City of Kenosha|Wards 10|10|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 10|10|DEM Register of Deeds|Jennifer Mack|42
City of Kenosha|Wards 10|10|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 10|10|REP United States Senator|Eric Hovde|27
City of Kenosha|Wards 10|10|REP United States Senator|Charles E. Barman|6
City of Kenosha|Wards 10|10|REP United States Senator|Rejani Raveendran|0
City of Kenosha|Wards 10|10|REP United States Senator|Write-In|0
City of Kenosha|Wards 10|10|REP Representative in Congress|Bryan Steil|28
City of Kenosha|Wards 10|10|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 10|10|REP State Senator District 22|Write-In|1
City of Kenosha|Wards 10|10|REP Representative to the Assembly District 64|Ed Hibsch|23
City of Kenosha|Wards 10|10|REP Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 10|10|REP District Attorney|Xavier Solis|24
City of Kenosha|Wards 10|10|REP District Attorney|Write-In|0
City of Kenosha|Wards 10|10|REP County Clerk|Write-In|0
City of Kenosha|Wards 10|10|REP County Treasurer|Write-In|0
City of Kenosha|Wards 10|10|REP Register of Deeds|Write-In|0
City of Kenosha|Wards 10|10|CON United States Senator|Write-In|0
City of Kenosha|Wards 10|10|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 10|10|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 10|10|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 10|10|CON District Attorney|Write-In|0
City of Kenosha|Wards 10|10|CON County Clerk|Write-In|0
City of Kenosha|Wards 10|10|CON County Treasurer|Write-In|0
City of Kenosha|Wards 10|10|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 10|10|LIB United States Senator|Write-In|0
City of Kenosha|Wards 10|10|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 10|10|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 10|10|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 10|10|LIB District Attorney|Write-In|0
City of Kenosha|Wards 10|10|LIB County Clerk|Write-In|0
City of Kenosha|Wards 10|10|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 10|10|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 10|10|GRN United States Senator|Write-In|0
City of Kenosha|Wards 10|10|GRN Representative in Congress|Chester Todd, Jr.|2
City of Kenosha|Wards 10|10|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 10|10|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 10|10|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 10|10|GRN District Attorney|Write-In|0
City of Kenosha|Wards 10|10|GRN County Clerk|Write-In|0
City of Kenosha|Wards 10|10|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 10|10|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 10|10|State Referendum - Question 1|No|46
City of Kenosha|Wards 10|10|State Referendum - Question 1|Yes|36
City of Kenosha|Wards 10|10|State Referendum - Question 2|No|49
City of Kenosha|Wards 10|10|State Referendum - Question 2|Yes|33
City of Kenosha|Wards 11|11|Party Preference Section|Democratic|356
City of Kenosha|Wards 11|11|Party Preference Section|Republican|165
City of Kenosha|Wards 11|11|Party Preference Section|Libertarian|1
City of Kenosha|Wards 11|11|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 11|11|Party Preference Section|Constitution|0
City of Kenosha|Wards 11|11|DEM United States Senator|Tammy Baldwin|345
City of Kenosha|Wards 11|11|DEM United States Senator|Write-In|0
City of Kenosha|Wards 11|11|DEM Representative in Congress|Peter Barca|346
City of Kenosha|Wards 11|11|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 11|11|DEM State Senator District 22|Robert W. Wirch|346
City of Kenosha|Wards 11|11|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 11|11|DEM Representative to the Assembly District 64|Tip McGuire|338
City of Kenosha|Wards 11|11|DEM Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 11|11|DEM District Attorney|Carli McNeill|330
City of Kenosha|Wards 11|11|DEM District Attorney|Write-In|0
City of Kenosha|Wards 11|11|DEM County Clerk|Regi Waligora|326
City of Kenosha|Wards 11|11|DEM County Clerk|Write-In|0
City of Kenosha|Wards 11|11|DEM County Treasurer|Teri Jacobson|327
City of Kenosha|Wards 11|11|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 11|11|DEM Register of Deeds|Jennifer Mack|319
City of Kenosha|Wards 11|11|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 11|11|REP United States Senator|Eric Hovde|157
City of Kenosha|Wards 11|11|REP United States Senator|Charles E. Barman|10
City of Kenosha|Wards 11|11|REP United States Senator|Rejani Raveendran|8
City of Kenosha|Wards 11|11|REP United States Senator|Write-In|0
City of Kenosha|Wards 11|11|REP Representative in Congress|Bryan Steil|154
City of Kenosha|Wards 11|11|REP Representative in Congress|Write-In|2
City of Kenosha|Wards 11|11|REP State Senator District 22|Write-In|4
City of Kenosha|Wards 11|11|REP Representative to the Assembly District 64|Ed Hibsch|135
City of Kenosha|Wards 11|11|REP Representative to the Assembly District 64|Write-In|3
City of Kenosha|Wards 11|11|REP District Attorney|Xavier Solis|134
City of Kenosha|Wards 11|11|REP District Attorney|Write-In|2
City of Kenosha|Wards 11|11|REP County Clerk|Write-In|5
City of Kenosha|Wards 11|11|REP County Treasurer|Write-In|7
City of Kenosha|Wards 11|11|REP Register of Deeds|Write-In|7
City of Kenosha|Wards 11|11|CON United States Senator|Write-In|0
City of Kenosha|Wards 11|11|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 11|11|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 11|11|CON Representative to the Assembly District 64|Write-In|0
